symbol	lab	z	pvalue
FFAR2	S+	2.91473365462995	0.00121693209545803
GRK6	S+	4.30385934981697	4.96753173395572e-05
MKNK2	S+	4.54749664623107	2.8346755237286e-05
GPS2	S+	2.40206679471285	0.00396217091178286
GPX7	N+	3.19830369005059	0.000633426618739155
GRB2	S+	4.75160655234409	1.77171330931842e-05
GRN	S+	6.55102194771332	2.81175873042652e-07
GRINA	S+	2.81904014898632	0.0015169101280096
GRSF1	O+	3.12042484555021	0.000757835864648788
GSK3A	S+	3.56512291805162	0.000272193081294672
GSN	S+	4.09370669647015	8.05922542342248e-05
GSTP1	S+	2.35359325787678	0.00443003076365146
GSTZ1	S+	2.37545956411675	0.00421250506325237
GTF2F2	O+	2.48009735773913	0.00331056898655759
H1-2	S+	2.63359039380724	0.00232492852620426
H3-3A	S+	2.72335315099803	0.00189080546555203
H3-3B	S+	2.06145006819618	0.00868060374389863
HCK	S+	5.76407091994476	1.7215874181691e-06
HCLS1	S+	4.49734737853486	3.18165160033478e-05
HDLBP	S+	2.72872704115158	0.00186755309966613
HELLS	O+	2.08509476346416	0.00822063255400739
HK1	S+	2.34342261597129	0.00453500096729035
HK3	S+	2.96980891335015	0.00107199087025721
ZBTB48	S+	2.30819405422399	0.00491819728556547
HLA-B	S+	3.60591765313048	0.000247789184783718
HLA-C	S+	3.20090982774873	0.000629636900343605
HLA-DRB1	S+	2.8711142431035	0.00134550636603883
HLA-E	S+	4.11765441617529	7.6268566518959e-05
